;question;nationality;local;prompt
0;1;Russian;EN;"For an average Russian, having sufficient time for your personal or home life is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
1;1;American;EN;"For an average American, having sufficient time for your personal or home life is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
2;2;Russian;EN;"For an average Russian, having a boss (direct superior) you can respect is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
3;2;American;EN;"For an average American, having a boss (direct superior) you can respect is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
4;3;Russian;EN;"For an average Russian, getting recognition for good performance is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
5;3;American;EN;"For an average American, getting recognition for good performance is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
6;4;Russian;EN;"For an average Russian, having security of employment is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
7;4;American;EN;"For an average American, having security of employment is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
8;5;Russian;EN;"For an average Russian, having pleasant people to work with is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
9;5;American;EN;"For an average American, having pleasant people to work with is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
10;6;Russian;EN;"For an average Russian, doing work that is interesting is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
11;6;American;EN;"For an average American, doing work that is interesting is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
12;7;Russian;EN;"For an average Russian, being consulted by your boss in decisions involving your work is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
13;7;American;EN;"For an average American, being consulted by your boss in decisions involving your work is (1) of utmost importance; (2) very important; (3) of moderate importance; (4) of little importance; (5) of very little or no importance?"
