;model;nationality;local;PDI;IDV;MAS;UAI;LTO;IVR
0;gpt-4o;American;EN;55.729166666666664;53.43750000000001;48.4375;31.634615384615383;44.95192307692308;65.875
1;gpt-4o;American;RU;58.729166666666664;52.1875;51.5625;34.15384615384615;49.18269230769231;64.45833333333333
2;gpt-4o;Russian;EN;63.66666666666667;44.375;45.3125;55.82692307692307;46.29807692307693;50.1
3;gpt-4o;Russian;RU;68.69791666666667;47.8125;51.81249999999999;52.6826923076923;52.49038461538461;50.875
4;gpt-3.5-turbo;American;EN;60.15625;51.5;48.75;45.40384615384615;50.67307692307692;55.199999999999996
5;gpt-3.5-turbo;American;RU;59.86458333333334;43.4375;48.625;42.83653846153846;43.84615384615385;58.20833333333333
6;gpt-3.5-turbo;Russian;EN;60.42708333333333;51.5625;46.875;50.24038461538461;51.49038461538461;52.43333333333333
7;gpt-3.5-turbo;Russian;RU;64.97916666666667;44.0625;50.5625;45.24038461538461;50.19230769230769;56.54166666666667
8;yandexgpt;American;EN;51.87500000000001;50.625;52.1875;37.65384615384615;49.13461538461538;54.699999999999996
9;yandexgpt;American;RU;53.99999999999999;48.8125;50.625;42.79807692307693;50.33653846153846;61.20833333333333
10;yandexgpt;Russian;EN;56.00000000000001;46.93750000000001;50.4375;48.20192307692307;50.57692307692307;52.449999999999996
11;yandexgpt;Russian;RU;49.625;48.68749999999999;53.625;45.09615384615385;44.875;56.05833333333333
